mail	Hi Simran, can we reschedule our meeting to tomorrow at 3 PM?
mail	Please find the attached report for this week's sales analysis.
mail	Don't forget our team lunch on Friday at 1 PM.
spam	Congratulations! You have won a ₹50,000 cash prize. Click here to claim now.
mail	Could you review the pull request before the end of the day?
mail	The interview has been scheduled for Monday at 10:00 AM.
mail	Thank you for your application. We will get back to you soon.
mail	The client appreciated your presentation. Great work!
spam	Exclusive offer! Get 90% off on all products. Limited time only.
mail	Can you share the latest project documentation with the team?
mail	The database backup completed successfully without any errors.
mail	Let's catch up over coffee next week if you're available.
mail	Your order has been shipped and is expected to arrive by Thursday.
spam	Urgent! Your bank account will be suspended unless you update your KYC today.
mail	The weekly sprint planning meeting has been moved to 11 AM.
mail	Please approve the leave request submitted by Rahul.
mail	Your password was changed successfully. No further action is required.
spam	You are our lucky winner! Spin the wheel to collect your reward.
mail	The conference room has been booked for the client presentation.
spam	Act now! Earn ₹10,000 per day working from home with no experience.
